[INFO] [1788546603.327555055] [robot_state_publisher]: Robot initialized
[WARN] [1788546609.728253392] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.734402210] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.762183539] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.824535527] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.824924867] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.845103061] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.931568229] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.989723475] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.993947426] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.996735392] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.015139595] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.056092698] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.094792011] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.098258447] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.112166153] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.113632804] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.121801033] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.129126955] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.143142162] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.150018951] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.157468667] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.165641812] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
